chrom,start,end,cm/mb,recombinants,Number_individuals,,,,
chr2,488847,968549,0,0,448,TRUE,FALSE,4267148,5244985
chr2,488847,968549,0,0,408,TRUE,FALSE,4267148,5244985
chr2,488847,968549,0.415264999,1,503,TRUE,FALSE,4267148,5244985
chr2,488847,968549,0.417761589,1,500,TRUE,FALSE,4267148,5244985
chr2,488847,968549,0.424568314,1,492,TRUE,FALSE,4267148,5244985
chr2,488847,968549,0.427178372,1,489,TRUE,FALSE,4267148,5244985
chr2,488847,968549,0.436115184,1,479,TRUE,FALSE,4267148,5244985
chr2,488847,968549,0.442596746,1,472,TRUE,FALSE,4267148,5244985
chr2,488847,968549,0.485928046,1,430,TRUE,FALSE,4267148,5244985
chr2,488847,968549,0.847414237,2,494,TRUE,FALSE,4267148,5244985
chr2,488847,968549,0.850873109,2,492,TRUE,FALSE,4267148,5244985
chr2,488847,968549,0.890871893,2,470,TRUE,FALSE,4267148,5244985
chr2,488847,968549,1.102987827,2,380,TRUE,FALSE,4267148,5244985
chr2,488847,968549,1.207326746,3,521,TRUE,FALSE,4267148,5244985
chr2,488847,968549,1.336318009,2,314,TRUE,FALSE,4267148,5244985
chr2,488847,968549,1.71225825,4,491,TRUE,FALSE,4267148,5244985
chr2,488847,968549,1.781776328,4,472,TRUE,FALSE,4267148,5244985
chr2,639092,955935,0,0,448,TRUE,FALSE,4267148,5244985
chr2,639092,955935,0,0,408,TRUE,FALSE,4267148,5244985
chr2,639092,955935,0.415264999,1,503,TRUE,FALSE,4267148,5244985
chr2,639092,955935,0.417761589,1,500,TRUE,FALSE,4267148,5244985
chr2,639092,955935,0.424568314,1,492,TRUE,FALSE,4267148,5244985
chr2,639092,955935,0.427178372,1,489,TRUE,FALSE,4267148,5244985
chr2,639092,955935,0.436115184,1,479,TRUE,FALSE,4267148,5244985
chr2,639092,955935,0.442596746,1,472,TRUE,FALSE,4267148,5244985
chr2,639092,955935,0.485928046,1,430,TRUE,FALSE,4267148,5244985
chr2,639092,955935,0.847414237,2,494,TRUE,FALSE,4267148,5244985
chr2,639092,955935,0.850873109,2,492,TRUE,FALSE,4267148,5244985
chr2,639092,955935,0.890871893,2,470,TRUE,FALSE,4267148,5244985
chr2,639092,955935,1.102987827,2,380,TRUE,FALSE,4267148,5244985
chr2,639092,955935,1.207326746,3,521,TRUE,FALSE,4267148,5244985
